Site,FullName,Latitude,Longitude
SanSaba,"Colorado Rv nr San Saba, TX",31.2179451,-98.56448364
Austin,"Colorado Rv at Austin, TX",30.2446537,-97.69445038
Bastrop,"Colorado Rv at Bastrop, TX",30.10466194,-97.31943512
